N,CODIGO,PRODUCTO,DESCRIPCION ,PESO-KG,MARCA ,BD,PRECIO NORMAL,PRECIO OFERTA,DESCUENTO,CATEGORIA
35,60216,CORTADORA TOR RAPID 620,CORTE MAX 62CM,10.83,TORREWS,#¡REF!," $161,690 ",,,CORTADORAS DE CERÁMICA Y PORCELANATO
36,50929,KIT DE FRAGÜADO,ESPONJA DE 17X12CM + FRAGUADOR LENGÜETA,0.11,TORREWS,#¡REF!," $3,460 ",,,FRAGUADORES
37,51036,PACK DE LLANAS ,"CONTIENE LLANA 6X6, 10X6 Y 13X13",0.45,F3C,#¡REF!," $4,990 ",,,LLANAS
38,50923,KIT DEL INSTALADOR ,"1 CORTADORA DE CERÁMICA 50CM, UNA LLANA 10X6, UNA BOLSA DE ESPACIADORES 3MM DE 100UND Y UN FRAGUADOR LENGÜETA",2.65,F3C,#¡REF!," $25,990 ",,,CORTADORAS DE CERÁMICA Y PORCELANATO
39,60143,REGLA DE CONTORNOS 25CM,25CM,0.35,TORREWS,#¡REF!," $7,990 ",,,INSTALACIÓN DE CERÁMICA Y PORCELANATO
40,51303,DISCO DIAMANTADO CONTINUO,PARA CORTES EN CERÁMICAS Y AZUALEJOS,0.13,F3C,#¡REF!," $2,590 ",,,DISCOS DE CORTE
41,51308,BANDEJA DE PINTURA,34X26CM HASTA RODILLOS DE 23CM,0.22,F3C,#¡REF!,#¡REF!,,,HERRAMIENTAS COMPLEMENTARIAS
42,58256,DISCO DIAMANTADO TORNADO,"EXTRAFINO, PARA CORTES EN PORCELANATO, CERÁMICA, GRANITO, MARMOL.",0.13,TORREWS,#¡REF!," $11,990 ",,,DISCOS DE CORTE
43,60261,DISCO DIAMANTADO TOR RAPID,"MULTIPROPÓSITO, CORTE EN METAL, PLÁSTICO, MADERA, PIEDRA, CERÁMICA.",0.14,TORREWS,#¡REF!," $22,970 "," $17,190 ",25%,DISCOS DE CORTE
44,51304,DISCO DIAMANTADO SEGMENTADO,"PARA CORTEN EN LADRILLO, PIEDRA, HORMIGON.",0.13,F3C,#¡REF!," $2,590 ",,,DISCOS DE CORTE
45,51305,DISCO DIAMANTADO TURBO,"PARA CORTES EN PORCELANATO, CERÁMICA, MARMOL, GRANITO.",0.13,F3C,#¡REF!," $2,590 ",,,DISCOS DE CORTE
46,51134,ESQUINERO ALUMINIO TIPO L,"2,3MTS LARGO",0.15,TORREWS,#¡REF!," $7,490 ",,,ESQUINEROS
47,52792,ESQUINERO ALUMINIO 8MM,"8MM , 2,3MTS LARGO",0.14,TORREWS,#¡REF!," $5,190 ",,,ESQUINEROS
48,50966,ESQUINERO PVC 10MM ALMENDRA,"10MM, 2,3MTS LARGO",0.14,TORREWS,1799," $2,190 ",,,ESQUINEROS
49,50988,ESQUINERO PCV 10MM GRIS,"10MM, 2,3MTS LARGO",0.14,TORREWS,#¡REF!," $2,190 ",,,ESQUINEROS
50,51005,ESQUINERO PCV 8MM BLANCO,"8MM , 2,3MTS LARGO",0.13,TORREWS,#¡REF!," $1,990 ",,,ESQUINEROS
